Type,Threads,Cache Size,,,
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
s,1,1,2982109551,2682109617,2832109584
g,1,1,3020454561,3100247653,3060351107
g,2,1,3322462778,3100247653,3211355215
g,3,1,3318495803,3100247653,3209371728
g,4,1,3027348143,3100247653,3063797898
g,5,1,3329948472,3100247653,3215098063
g,6,1,3333745202,3100247653,3216996428
g,7,1,3329935460,3100247653,3215091557
g,8,1,3647513228,3100247653,3373880441
g,9,1,3343002840,3100247653,3221625247
g,10,1,3347578845,3100247653,3223913249
g,11,1,3654588996,3100247653,3377418324
g,12,1,3653760987,3100247653,3377004320
g,13,1,3662463465,3100247653,3381355559
g,14,1,3362667443,3100247653,3231457548
g,15,1,3668214231,3100247653,3384230942
g,16,1,3974582345,3100247653,3537414999
g,1,64,2679190230,3100247653,2889718941
g,2,64,2999256984,3100247653,3049752318
g,3,64,3315149533,3100247653,3207698593
g,4,64,3021946951,3100247653,3061097302
g,5,64,3323395594,3100247653,3211821624
g,6,64,3325787764,3100247653,3213017709
g,7,64,3333945323,3100247653,3217096488
g,8,64,3346409474,3100247653,3223328563
g,9,64,3343656000,3100247653,3221951827
g,10,64,3656054906,3100247653,3378151280
g,11,64,3649695144,3100247653,3374971399
g,12,64,3356126227,3100247653,3228186940
g,13,64,3655176281,3100247653,3377711967
g,14,64,3663029063,3100247653,3381638358
g,15,64,3662302020,3100247653,3381274837
g,16,64,3672555968,3100247653,3386401811
l,1,1,2666903202,4815379143,3741141172
l,2,1,1685300375,4815379143,3250339759
l,3,1,1989771238,4815379143,3402575190
l,4,1,1671528169,4815379143,3243453656
l,5,1,1653893732,4815379143,3234636438
l,6,1,1345782609,4815379143,3080580876
l,7,1,1337282999,4815379143,3076331071
l,8,1,1330507057,4815379143,3072943100
l,9,1,1321959898,4815379143,3068669521
l,10,1,1318497587,4815379143,3066938365
l,11,1,1014491751,4815379143,2914935447
l,12,1,1012256931,4815379143,2913818037
l,13,1,1002473751,4815379143,2908926447
l,14,1,998012254.7,4815379143,2906695699
l,15,1,994316575.9,4815379143,2904847859
l,16,1,992402885,4815379143,2903891014
l,17,1,989799255.5,4815379143,2902589199
l,18,1,687890058.8,4815379143,2751634601
l,19,1,985111532.8,4815379143,2900245338
l,20,1,685551631.3,4815379143,2750465387
l,21,1,984970029.9,4815379143,2900174586
l,22,1,679991119,4815379143,2747685131
l,23,1,983533678.7,4815379143,2899456411
l,24,1,680496296.4,4815379143,2747937720
l,25,1,978199225.8,4815379143,2896789184
l,26,1,679830054.3,4815379143,2747604599
l,27,1,674553930.5,4815379143,2744966537
l,28,1,977944468.4,4815379143,2896661806
l,29,1,673523504,4815379143,2744451323
l,30,1,674400267.1,4815379143,2744889705
l,31,1,673746565.4,4815379143,2744562854
l,32,1,670709179.1,4815379143,2743044161
l,1,64,2977844691,4815379143,3896611917
l,2,64,1344775038,4815379143,3080077090
l,3,64,997788629.3,4815379143,2906583886
l,4,64,675190012.7,4815379143,2745284578
l,5,64,663272306.3,4815379143,2739325725
l,6,64,655043315.8,4815379143,2735211229
l,7,64,350121241.3,4815379143,2582750192
l,8,64,644562921.7,4815379143,2729971032
l,9,64,337998648.3,4815379143,2576688896
l,10,64,337447345,4815379143,2576413244
l,11,64,334456475.2,4815379143,2574917809
l,12,64,335733239.8,4815379143,2575556191
l,13,64,342696741.9,4815379143,2579037942
l,14,64,641167161.9,4815379143,2728273152
l,15,64,342671296.8,4815379143,2579025220
l,16,64,341136533,4815379143,2578257838
l,17,64,343049250.6,4815379143,2579214197
l,18,64,641618221.1,4815379143,2728498682
l,19,64,342637857.9,4815379143,2579008500
l,20,64,348331161.6,4815379143,2581855152
l,21,64,645216875.1,4815379143,2730298009
l,22,64,343982710,4815379143,2579680926
l,23,64,343757395.8,4815379143,2579568269
l,24,64,643234408.3,4815379143,2729306776
l,25,64,345648448.2,4815379143,2580513795
l,26,64,341730478.3,4815379143,2578554811
l,27,64,642584446.7,4815379143,2728981795
l,28,64,342292046.4,4815379143,2578835595
l,29,64,342630505,4815379143,2579004824
l,30,64,341791824.6,4815379143,2578585484
l,31,64,639506505,4815379143,2727442824
l,32,64,339864551.6,4815379143,2577621847
